gestion,departamento,tipo,cantidad
2010,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,464
2010,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2010,CHUQUISACA,EMPRESA UNIPERSONAL,3830
2010,CHUQUISACA,SOCIEDAD ANONIMA,26
2010,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2010,CHUQUISACA,SOCIEDAD COLECTIVA,2
2010,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,691
2010,COCHABAMBA,EMPRESA UNIPERSONAL,16664
2010,COCHABAMBA,SOCIEDAD ANONIMA,278
2010,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2010,COCHABAMBA,SOCIEDAD COLECTIVA,19
2010,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,4388
2010,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2010,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,10
2010,LA PAZ,EMPRESA UNIPERSONAL,25362
2010,LA PAZ,SOCIEDAD ANONIMA,1326
2010,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2010,LA PAZ,SOCIEDAD COLECTIVA,42
2010,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,13627
2010,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2010,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2010,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,254
2010,ORURO,EMPRESA UNIPERSONAL,4116
2010,ORURO,SOCIEDAD ANONIMA,38
2010,ORURO,SOCIEDAD COLECTIVA,6
2010,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1354
2010,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2010,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2010,PANDO,EMPRESA UNIPERSONAL,788
2010,PANDO,SOCIEDAD ANONIMA,5
2010,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,133
2010,POTOSI,EMPRESA UNIPERSONAL,2894
2010,POTOSI,SOCIEDAD ANONIMA,33
2010,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2010,POTOSI,SOCIEDAD COLECTIVA,8
2010,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1157
2010,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2010,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2010,SANTA CRUZ,EMPRESA UNIPERSONAL,19793
2010,SANTA CRUZ,SOCIEDAD ANONIMA,961
2010,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2010,SANTA CRUZ,SOCIEDAD COLECTIVA,11
2010,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,9535
2010,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,2
2010,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,142
2010,TARIJA,EMPRESA UNIPERSONAL,4709
2010,TARIJA,SOCIEDAD ANONIMA,42
2010,TARIJA,SOCIEDAD COLECTIVA,2
2010,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1385
2010,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
